D:\dev\python\Lib\site-packages\pyannote\audio\core\io.py:212: UserWarning: torchaudio._backend.list_audio_backends has been deprecated. This deprecation is part of a large refactoring effort to transition TorchAudio into a maintenance phase. The decoding and encoding capabilities of PyTorch for both audio and video are being consolidated into TorchCodec. Please see https://github.com/pytorch/audio/issues/3902 for more information. It will be removed from the 2.9 release. 
  torchaudio.list_audio_backends()
D:\dev\python\Lib\site-packages\speechbrain\utils\torch_audio_backend.py:57: UserWarning: torchaudio._backend.list_audio_backends has been deprecated. This deprecation is part of a large refactoring effort to transition TorchAudio into a maintenance phase. The decoding and encoding capabilities of PyTorch for both audio and video are being consolidated into TorchCodec. Please see https://github.com/pytorch/audio/issues/3902 for more information. It will be removed from the 2.9 release. 
  available_backends = torchaudio.list_audio_backends()
2026-01-28 18:15:50 - whisperx.vads.silero - INFO - Performing voice activity detection using Silero...
Using cache found in C:\Users\eason/.cache\torch\hub\snakers4_silero-vad_master
Transcript: [253.794 --> 282.782] 未来会增加什么手续或者会不会延长汇款操作周期我们还不知道但是这个信号肯定预示着以后不会那么随心所欲来吧家伙们凡是今年得新梗的出来报个数来喊口号我看看今年的冬天咋这么多得新梗的呢是我这个感觉的事还是确实是这么多呀我从云南底层出来的带了三万块钱一个人勇闯新西兰
Transcript: [282.914 --> 312.446] 最后在这里定居你没钱没背景没技能移民肯定是很难的但为什么我还是要这么做呢我今天就来和大家聊一聊最重要的就是他社会给你托底社会福利太好了比如医疗全面免费你不用担心付不起医疗费政府会给你付的假如有人不幸得了癌症了那你只用付个挂号费其他的什么饭疗啊药物啊都不用你操心都是免费的所以你就不用再担心说啊你要存钱去治病没有这回事
Transcript: [312.706 --> 342.622] 还有你真的不会饿死因为他这里的政府每周他会发两次的免费食物只要你去领你就每周都有食物吃如果你又不幸失业了首先会有人帮你找工作其次政府会给你发失业补助金的说实话只要你个人努力一点你不会过得特别特别惨而且这里你是可以免费上大学去学门手艺的是他们收费也不是很高比如说你可以去学气修电焊你也可以去学
Transcript: [342.722 --> 372.542] 瓦匠建築什麼的我知道很多人有職業歧視看不起藍領工人但是我和你說在國外這些工人是最賺錢的中國人不是在辦簽證就是在辦簽證的路上因為這個世界上有的護照人家是通行證有的護照只能是申請書別人出國買機票訂酒店說走就走中國人出國先證明你是誰再證明你有錢再證明你一定會回來我曾經有三家水果店年營業額上千萬
Transcript: [373.474 --> 397.79] 每年開支都200萬手底下有十幾名員工就在去年9月份全部倒閉現在淪落到什麼程度就剩到一輛三輪車了下著雨也要出來擺攤你們說我是堅強還是可憐真是有作為呀人家為了治病走投無路賣手錶的十幾萬到賬
Transcript: [397.986 --> 424.67] 45天两个多亿的银行流水然后还借了两千多万跑路了却说调查不到2025年11月20岁的大学生在上海看病医院打给他一笔3万多的医疗补贴但是他的卡现额转不出来他就去银行把转账的现额提一提这很人之常情的操作流程但接下来剧情就开始离谱了第一轮银行要证明
Transcript: [424.834 --> 453.022] 先问钱是干什么用的他说看病补贴的接下来要求他提供工作证明社保他说我还是个学生银行那问你有房吗他当场联系了他的母亲把20万打进卡里这是银行提出来的条件他也是按照要求操作的正常流程来讲我按照你提出的要求做了你是不是应该帮我解除限额可是万万没想到银行竟然就直接报警了
Transcript: [453.314 --> 475.23] 警察到了做了反诈宣传确认没有诈骗没有洗钱风险那你以为事情就结束了吗银行最后给的结论是额度还是不能提既然提不了那我就把我的20万转走那就可以吧那银行直接就告知要么预约取现要么柜台夸行转账那夸行转账是要付手续费的呀
Transcript: [475.394 --> 504.798] 这不就是额度没办成钱先押这里吗大家都看新闻了吗江浙沪突然爆发了出国潮谁也没有想到根据入境处的数据显示短短30天居然有37万人办好了出国手续更让人意外的是在这波人里面有六七成的人是没有选择美国澳洲也没有去日韩新加坡而是全部都冲向了土耳其中午12点24分一桌没有我用了那么好的肉那么贵的面
Transcript: [505.826 --> 535.678] 那么新鲜的青菜都没把店做起来我感觉我做产业太失败了投资100万再还开一个火锅店加烧烤店今天营业额0今天营业额0哦服务员喝喝茶收银员吃吃小瓜子
Transcript: [536.066 --> 562.462] 從事的打打遊戲你看刷刷短劇就在剛剛我就動了想死的念頭了你沒有聽錯真的毫不誇張我跟你說
Transcript: [562.786 --> 588.766] 我感觉我36岁我觉得自己活得很失败小孩小孩没有教育好自己也一事无成我感觉我都很努力的活着了我哪感觉走这么难了感觉今天都27号了过年没几天了你们都不烫头不剪头吗
Transcript: [589.89 --> 619.39] 出國打工的頂級心態誰發的錢聽誰的話當誰的王扶誰的寡也不用跟我上什麼情緒價值是吧你直接上價值那只要價值到位了情緒這玩意我自己都能控制也不需要跟我講什麼大道理是吧你只要錢到位了我自己都能勸自己我聽不懂話我還能看不懂錢嗎
Transcript: [627.01 --> 645.854] 哎呀不出意外我的美签又被拒了连续两次第一次是在25年的12月12号然后这次呢是在1月16号接连被拒但这次更离谱我是从早上7点就过去排队了进去之后那个签证官看都没看我一眼一共就问了我三个问题一个问题是
Transcript: [645.954 --> 674.782] 你要去美国干嘛第二个问题是有没有去过别的国家然后第三个问题是你现在的工作单位是什么然后就在那敲小电盘敲完之后告诉我你的前车没有碰过你发现了吗今年过年都变了往年过年抢不到票就另外说吧好歹有个绿皮车有个加班车有个便宜的车今年过年全是高铁那些绿皮车便宜的全不见了
Transcript: [675.042 --> 704.382] 咱们是35岁新刚走了上周五还一起开会讨论方案周一就听说人没了心脏骤停家里人发现的时候已经晚了办公室里面还放着她没喝完的茶杯电脑屏幕保护程序还在跳动就好像她只是出去了一趟马上就会回来以前是年龄大了死的多现在年龄小的也有很多而且很快昨天还谈笑风生的人今天就可能找出什么大病了现在最害怕的事情就是什么挣不到钱别的都不怕
Transcript: [704.77 --> 714.782] 最怕挣不到钱现在到这个年龄了真的什么都不想什么你爱我还是我爱你去他妈感情爱谁谁我要挣钱钱
